answer,label,윤경,지원,수연,승희,나현,,
별 생각 없음,1,,0.5,0.5,0.5,0.5,,
별 생각 없다,1,,0.5,0.5,0.5,0.5,,
딱히 별 생각 안든다,1,,0.5,0.5,0.5,0.5,,
아무생각도 안든다..,1,,0.5,0.5,0.5,0.5,,
뭔가 쎄하다,0,,0,0,0,0,,
아니요,0,,0,0,0,0,,
과하다,0,,0,0,0,0,,
고맙지만 과하다,0,,0.3,0.3,0.3,0.3,,
경계한다,0,,0.3,0,0,0,,
마음에 들지만 경계한다,0,,0.5,0.3,0.3,0.3,,
마음에 안든다,0,,0,0,0,0,,
글씨체는 투머치,0,,0,0,0.3,0,,
좋은데 부담스럽다,0,,0.3,0.3,0.3,0.3,,
불편하다..,0,,0,0,0,0,,
별로다,0,,0,0,0,0,,
아니요 니가 뭔데요?,0,,0,0,0,0,,
이정도면 변액보험 권유하는거아님 스캠사기다,0,,0,0,0,0,,
글씨체는 왜 알려주는 거야 부담스럽네,0,,0,0,0,0,,
너무 과하다,0,,0,0,0,0,,
아니요...,0,,0,0,0,0,,
아니요 죽이고 싶습니다,0,,0,0,0,0,,
부담스러워요..,0,,0,0,0,0,,
아니요,0,,0,0,0,0,,
그건 좀..,0,,0,0,0,0,,
훈수는 싫어요,0,,0,0,0,0,,
개싫_ㅋㅋㅋㅋ,0,,0,0,0,0,,
뭐든 극단적인사람은 별로임,0,,0,0,0,0,,
너무 많은 관심은 별로,0,,0,0,0,0,,
아뇨,0,,0,0,0,0,,
아니요. 물어본 것만 대답했으면.,0,,0,0,0,0,,
아뇨,0,,0,0,0,0,,
훈수를 두는 것은 마음에 들지 않는다,0,,0,0,0,0,,
처음엔 별로,0,,0,0,0,0,,
일부 마음에든다,1,,0.7,0.7,0.7,0.7,,
적당히 알려줬으면,0,,0.3,0.3,0.3,0.3,,
광고같아서 불편하다,0,,0.3,0,0,0,,
시선은 간다,1,,0.7,1,0.7,0.7,,
광고같아서 불편하지만 시선은 감,1,,0.7,0.7,0.7,0.7,,
마음에 들지만 사기꾼이 아닌지 의심,0,,0.3,0.3,0.3,0.3,,
마음에 든다,1,,1,1,1,1,,
"마음에 들지만 글씨체까지 알려주는건 좀 부담,,",0,,0.3,0.3,0.3,0.3,,
좀 부담스럽긴한데 도움은 되니 고맙군,1,,0.7,0.7,0.5,0.7,,
부담스럽다,0,,0,0,0,0,,
너무 훈수를 많이 두는것도 별로일 것 같지만 그래도 안 알려주는것보단 낫다.,0,,0.7,0.7,0.7,0.7,,
너무 훈수를 많이 두는것도 별로,0,,0,0,0,0,,
그래도 안 알려주는것보단 낫다,1,,1,1,0.7,1,,
주식이 처음이라 일단은 들어볼게요,1,,1,1,0.7,0.7,,
나쁘지않지만 너무 지속된다면 별로,0,,0.3,0.3,0.3,0.3,,
나쁘지 않다,1,,1,1,1,1,,
완전 맘에 듭니다. 하나도 모르니까 오히려 좋아~ 근데 글씨체 딴걸로 한다고 했을 때 안된다고 무조건 자기 말대로 하라고 그러면 좀 화날 것 같아요,1,,0.7,0.7,0.7,0.7,,
"리액션 해주되, 적당한 선에서 말 끊을 것 같습니다.",0,,0.7,0.7,0.7,0.7,,
리액션 해주기,1,,1,1,0.7,0.7,,
적당한 선에서 말 끊기,0,,0.3,0,0.3,0.3,,
글씨체..흠..,0,,0.3,0,0.3,0.3,,
그냥 참고용,1,,0.5,0.7,0.5,0.5,,
넹,1,,0.7,1,1,1,,
YES,1,,0.7,1,1,1,,
좋습니다 서로 공유할수있어서,1,,1,1,1,1,,
네네 마음에 들어요.,1,,1,1,1,1,,
프로도가 마음에 든다.,1,,1,1,1,1,,
굳이다,1,,1,1,1,1,,
좋다,1,,1,1,1,1,,
네,1,,1,1,1,1,,
내가 정말 모른다는 것만 알려준다면 마음에 든다.,1,,1,1,1,1,,
네,1,,1,1,1,1,,
완 전 좋 아,1,,1,1,1,1,,
정보를 알려주니 좋다,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
좋다,1,,1,1,1,1,,
네,1,,1,1,1,1,,
알려주면 좋음,1,,1,1,1,1,,
고맙긴하네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
넹,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네네,1,,1,1,1,1,,
네 내가 아무것도 모르니까…,1,,1,1,1,1,,
"넹, 친절하시면 좋아요",1,,1,1,1,1,,
고맙다,1,,1,1,1,1,,
완전 맘에 들어요,1,,1,1,1,1,,
넵,1,,1,1,1,1,,
그럼요,1,,1,1,1,1,,
마음에 든다,1,,1,1,1,1,,
너무 좋아 맨날 말 걸어주고 더 알려줬으면 좋겠음,1,,1,1,1,1,,
네,1,,1,1,1,1,,
너무 좋아 아주좋아 감사하당,1,,1,1,1,1,,
네,1,,1,1,1,1,,
너무 좋아요-!,1,,1,1,1,1,,
마음에 들고 감사하다,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
알려주시는건 감사합니다,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네! 친절한 사람 좋아요,1,,1,1,1,1,,
네,1,,1,1,1,1,,
너무 마음에 들어요! 많이 배울 수 있을 것 같애요,1,,1,1,1,1,,
네,1,,1,1,1,1,,
뭐든 모르는걸 가르쳐주면 고마운사람,1,,1,1,1,1,,
고마울 것 같다,1,,1,1,1,1,,
좋아요,1,,1,1,1,1,,
네,1,,1,1,1,1,,
친절해서 좋아요,1,,1,1,1,1,,
당연하죠,1,,1,1,1,1,,
마음에 든다.,1,,1,1,1,1,,
좋지,1,,1,1,1,1,,
오히려 좋다.,1,,1,1,1,1,,
넹,1,,1,1,1,1,,
처음이니까 마음에 든다,1,,1,1,1,1,,
너어무 고마움,1,,1,1,1,1,,
네.,1,,1,1,1,1,,
네,1,,1,1,1,1,,
괜찮네,1,,1,1,1,1,,
나쁘지 않음,1,,1,1,1,1,,
네,1,,1,1,1,1,,
예,1,,1,1,1,1,,
ㄴ네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
땡큐,1,,1,1,1,1,,
나쁘지 않다. 너무 구체적인 훈수는 걸러 들으면 됨,1,,1,1,0.7,0.7,,
네,1,,1,1,1,1,,
ㄱㅅㄱㅅ,1,,1,1,1,1,,
"와 개친절,, 바로 반함ㅠ ",1,,1,1,1,1,,
근데 오바하는건 별로,0,,0,0.3,0,0.3,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
넹,1,,1,1,1,1,,
네,1,,1,1,1,1,,
넵 고마워용,1,,1,1,1,1,,
완전!,1,,1,1,1,1,,
마음에 들지만 적당한거리를 둔다,1,,0.3,0.3,0.7,0.7,,
적당한 거리를 둔다,0,,0,0,0,0,,
예,1,,1,1,1,1,,
오히려좋다,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
넹 좋아여,1,,1,1,1,1,,
당연하죠__,1,,1,1,1,1,,
너무 고맙다.,1,,1,1,1,1,,
말할 때 존댓말 사용 등 예절을 지켜주면 호감!!,1,,1,1,1,1,,
열심히 알려줘서 고맙다,1,,1,1,1,1,,
스승님!,1,,1,1,1,1,,
약간 부담스럽지만 초보니까 설명해주시니 너무 좋다!,1,,1,1,1,1,,
네,1,,1,1,1,1,,
주식에 대해 아무것도 몰라서 프로도..?가 마음에 든다,1,,1,1,1,1,,
알려주는 건 괜찮은데 글씨체는 왜 알려주지,1,,0.3,0.3,0.7,0.7,,
네 초보니까 도움 당연히 고마움,1,,1,1,1,1,,
"글씨체는 알아서 하고싶은데,,고맙긴해요",1,,1,1,0.7,0.7,,
마음에 듬,1,,1,1,1,1,,
네,1,,1,1,1,1,,
"감사합니다,,근데 어쩔티비",1,,0.7,0.7,0.7,0.7,,
어쩔티비,0,,0,0,0,0,,
네,1,,1,1,1,1,,
마음에 든다!,1,,1,1,1,1,,
네. 챙겨주는 것 같아서 고마울 것 같아요,1,,1,1,1,1,,
너무 괜찮다,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
네,1,,1,1,1,1,,
부담스럽다.,0,,0,0,0,0,,
당황스럽다 떨린다,0,,0,0,0,0,,
부담,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부담부담,0,,0,0,0,0,,
부끄럽다,0,,0,0,0,0,,
부담,0,,0,0,0,0,,
부담스러움,0,,0,0,0,0,,
너무너무 부담스럽다,0,,0,0,0,0,,
부담,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
긴장된다,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부담스럽가,0,,0,0,0,0,,
손 땀 폭발,0,,0,0,0,0,,
왜 나한테 관심을 가지지?하는 묘한 기분,0,,0,0.3,0.3,0.3,,
조금 부담스럽다,0,,0,0,0,0,,
부담스럽고 무언가 의미있는 걸 말해야 할 갓 같다,0,,0,0,0,0,,
부담,0,,0,0,0,0,,
부담스러워요,0,,0,0,0,0,,
관심을 가져줘서 고맙지만 부끄럽다,0,,0.7,0.3,0.7,0.7,,
"부담스럽다, 집에 가고싶다",0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
집에가고싶다,0,,0,0,0,0,,
초면이면 굉장히 부담스럽다,0,,0,0,0,0,,
피곤함,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부끄럽다,0,,0,0,0,0,,
싫다,0,,0,0,0,0,,
음 뭐...지,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부끄럽다,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부담스럽고 적당히 가져주면 좋겠다.,0,,0,0,0,0,,
"부담스러움.,",0,,0,0,0,0,,
부담스럽다...,0,,0,0,0,0,,
얼굴이 화끈거린다.,0,,0,0,0,0,,
"부담스럽다,,",0,,0,0,0,0,,
부담스럽네요,0,,0,0,0,0,,
부끄럽다,0,,0,0,0,0,,
시선이 느껴져도 모른척한다,0,,0,0,0,0,,
뭐지시발 뭐잘못했나,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부담,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
싫다. 할말없음,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
나쁘진 않으나 관심을 좀 꺼줬으면 좋겠다,0,,0.3,0.3,0.3,0.3,,
부담스럽다,0,,0,0,0,0,,
부담,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
얼굴빨개질듯,0,,0,0,0,0,,
뭐야 나왜봐 당황스럽네,0,,0,0,0,0,,
뭐야 왜이래..,0,,0,0,0,0,,
부끄럽다,0,,0,0,0,0,,
다소 부담스럽다.,0,,0,0,0,0,,
무슨 말을 해야하지,0,,0.3,0.3,0.3,0.3,,
부담스럽다,0,,0,0,0,0,,
부담스러웡,0,,0,0,0,0,,
엇 뭐지 ?? 다들 아는 사이고 나만 처음 보나?,0,,0,0.3,0.3,0.3,,
당황스러우면서 부담스럽다..,0,,0,0,0,0,,
매우부담스러움,0,,0,0,0,0,,
부담스럽고 당황스럽다. 관심이 없는 것도 싫지만 모두의 시선이 집중되는건 더 싫다.,0,,0,0,0,0,,
부담스럽다,0,,0,0,0,0,,
부담스럽고 떨리는군,0,,0,0,0,0,,
뭐지...? 왜 나를 보는거지...?,0,,0,0.3,0,0,,
부담스러움,0,,0,0,0,0,,
어서 다른사람에게 관심이 돌아갔으면 좋겠다,0,,0,0,0,0,,
서운,0,,0,0,0,0,,
집에 가고싶다,0,,0,0,0,0,,
부끄러워진다.,0,,0,0,0,0,,
좀그렇다,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
내가 뭐 잘못했나 생각해본다,0,,0,0,0,0,,
다시안오구싶다,0,,0,0,0,0,,
어색해,0,,0,0,0,0,,
집에가고싶다,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
어색하고 서운하다,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
어색,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
좀 서운함,0,,0,0,0,0,,
뭐지...,0,,0,0,0,0,,
나 이제안올래…,0,,0,0,0,0,,
어색하고 답답하다,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
어색하다 전부 다 이런건가?,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
더 긴장되고 서운하다,0,,0,0,0,0,,
서운하고 외롭고 답답하고 어색함,0,,0,0,0,0,,
"서운하다, 어색하다",0,,0,0,0,0,,
ㅠㅠ 괜히 모임에 참여했다,0,,0,0,0,0,,
좋기도한데 서운함,0,,0.5,0.3,0.3,0.3,,
어색하다,0,,0,0,0,0,,
어색함,0,,0,0,0,0,,
어색하고 뻘쭘하다,0,,0,0,0,0,,
민망,0,,0,0,0,0,,
내가 사회성에 문제가 있나..? 넘 무뚝뚝한가…? 말실수했나..?,0,,0,0,0,0,,
답답하다,0,,0,0,0,0,,
심심하다 ..,0,,0,0,0,0,,
약간 민망하다,0,,0,0,0,0,,
어색해서 정신나감,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
외로워서 울고싶다,0,,0,0,0,0,,
슬퍼용ㅠ,0,,0,0,0,0,,
어색해서 미치겠다,0,,0,0,0,0,,
서운하다,0,,0,0,0,0,,
음 어색해 집가고싶다,0,,0,0,0,0,,
집에 가고싶다,0,,0,0,0,0,,
속상하다,0,,0,0,0,0,,
"어색해서 미치겠다, 무안하다",0,,0,0,0,0,,
어색하다.,0,,0,0,0,0,,
모두가 조용하다면 상관없고 나한테만 그러면 좀 서운하다.,0,,0.5,0.3,0,0.3,,
어색해서 불편하다,0,,0,0,0,0,,
너무 어색하다 집에 가야하나..?,0,,0,0,0,0,,
어색하다..뻘쭘해..,0,,0,0,0,0,,
서운하다.,0,,0,0,0,0,,
어색해서 미치겠다,0,,0,0,0,0,,
서운하고 어색하다,0,,0,0,0,0,,
당황스럽네,0,,0,0,0,0,,
아싸인거 알아챘나,0,,0,0,0,0,,
어색해서 미치겠다,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
서운,0,,0,0,0,0,,
어색해 미치겠다.,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
어색해서 미치겠다,0,,0,0,0,0,,
뭐 잘못했나,0,,0,0,0,0,,
뻘쭘할 것 같다,0,,0,0,0,0,,
뭐지..? 어색하다.. 이런 느낌..?,0,,0.3,0,0,0,,
매우 섭섭하고 어색하다,0,,0.3,0,0,0,,
ㅠㅠ,0,,0,0,0,0,,
왜왔지,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
쫌 서운하다,0,,0,0,0,0,,
"서운하다, 오히려 좋아, 어색해서 미치겠다 등  ",0,,0,0,0,0,,
아싸당첨!,0,,0,0,0,0,,
맴찢,0,,0,0,0,0,,
이런 적 없었는데..,0,,0,0,0,0,,
뭐지 여기는? 이라는 생각을 하면서 살펴본다.,0,,0.5,0.3,0,0.3,,
어색하고 도망가고싶다,0,,0,0,0,0,,
서운하다,0,,0,0,0,0,,
너무 어색하다!,0,,0,0,0,0,,
오만가지 생각 다하면서 집가서 운다,0,,0,0,0,0,,
내가 이상한 사람으로 보이나?싶다.,0,,0,0,0,0,,
어색한데 이 분위기 어떡하지쪾쪾,0,,0,0,0,0,,
서운하다..?,0,,0,0,0,0,,
힝,0,,0,0,0,0,,
어색하다 ㅠ,0,,0,0,0,0,,
누군가가 말걸어줬으면 좋겠다... 대신 작은목소리로..,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
먼저 걸어주면 좋아서 말을 많이하지만 안걸어주면 나도 못 걸 것 같당,0,,0,0.3,0.3,0.3,,
다른 사람도 데면데면 하면 그런가보다 하는데 나 빼고 다 친하면 좀 뻘쭘,0,,0,0.3,0,0.3,,
서운하고 내가 또 먼저 걸어야하나.. 스트레스다,0,,0,0,0,0,,
서운해요,0,,0,0,0,0,,
너무 어색하다. 집에 가고 싶다,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
"심심하다, 어색하다, 민망하다",0,,0,0,0,0,,
오히려.. 좋아..ㅋㅋ ㅠ (집에가서 운다,0,,0,0,0.7,0.3,,
"어라,, 망했다,, 근데 딱히 그런 일 없음ㅠ",0,,0,0,0,0,,
뻘쭘하고 서운하다,0,,0,0,0,0,,
친해지고싶은 타입이 아닌가 싶어서 아쉬울 것 같다,0,,0,0,0,0,,
어색해 미치겠다,0,,0,0,0,0,,
누가 말 좀 걸어줬으면...,0,,0,0,0,0,,
어색하다,0,,0,0,0,0,,
어색해서 미치겠다,0,,0,0,0,0,,
어색해서 자리를 뜨고 싶다,0,,0,0,0,0,,
굳,1,,1,1,1,1,,
즐긴다,1,,1,1,1,1,,
좋다 이기회에 내 자신을 알리자,1,,1,1,1,1,,
집중된 것을 즐긴다.,1,,1,1,1,1,,
많은 사람들의 관심.. 환영한다!!,1,,1,1,1,1,,
괜찮다,1,,1,1,1,1,,
재밌다,1,,1,1,1,1,,
재미있다,1,,1,1,1,1,,
관심을 가져주니 좋다,1,,1,1,1,1,,
기분좋음,1,,1,1,1,1,,
모임 나쁘지않겠다,1,,1,1,1,1,,
부담스럽지만... 기왕 스터디 하러온거 열심히 말한다,1,,1,1,0.7,0.7,,
부담스럽지만 설렌다,1,,1,1,0.7,0.7,,
관심을 가져주니 좋군,1,,1,1,1,1,,
부담스럽지만  관심을 가져주니 좋다,1,,1,1,0.7,0.7,,
관심을 가져주니까 재미있을듯,1,,1,1,1,1,,
관심을 가져주니 좋군,1,,1,1,1,1,,
부담스러운데 크게 나쁘진 않움,1,,1,1,0.7,0.7,,
최고,1,,1,1,1,1,,
부담스럽지만… 즐긴다 ㅋㅋ,1,,1,1,0.7,0.7,,
살짝 부담스럽지만 싫진 않다,1,,1,1,0.7,0.7,,
아무 생각 없다,1,,0.5,0.5,0.5,0.5,,
역시 나야,1,,1,1,1,1,,
부담스럽다 그래도 챙겨주는구나,1,,1,1,0.7,0.7,,
시선이 집중될수록 집단에 여러가지 네트워크를 가질수 있기에 좋다,1,,1,1,1,1,,
부끄럽지만 관심받으니 좋고 빨리 친해지고 싶음,1,,1,1,0.7,1,,
"부끄럽지만,,, 관심을 가져주니 나쁘지않다",1,,1,1,0.7,0.7,,
부담스럽지만 기대되고 오묘함,1,,1,1,0.7,0.7,,
부끄러운척하지만 즐긴다,1,,1,1,0.7,1,,
부담스럽지만 기대된다!,1,,1,1,0.7,0.7,,
좋아용!,1,,1,1,1,1,,
재밌겠군ㅎㅎ,1,,1,1,1,1,,
"부담스러운데,,, 관심을 가져주니 좋군!",1,,1,1,0.7,0.7,,
떨리지만 신난다,1,,1,1,0.7,0.7,,
좀 부담스럽지만 부정적인 관심이 아니니 일단 좋다..!,1,,1,1,0.7,0.7,,
부담스럽지만 관심받으니 좋다,1,,1,1,0.7,0.7,,
개이득 내가 주인공 개신나!,1,,1,1,1,1,,
관심 줘서 고맙지만 약간 부담스럽네,1,,0.7,0.7,0.7,0.7,,
부담스러운데 칭찬해주면 좋을것같다,1,,1,1,0.7,0.7,,
그냥 그럼,1,,0.5,0.5,0.5,0.5,,
좀 부담스럽군..그래도 나쁘지않네..,1,,0.7,0.7,0.7,0.7,,
별생각 안든다,1,,0.5,0.5,0.5,0.5,,
좋다,1,,1,1,1,1,,
부담돼서 나빠,0,,0.3,0.3,0,0,,
부담돼서 나쁜데 좋아,1,,0.7,0.7,0.7,0.7,,
별 생각 없음,1,,0.5,0.5,0.5,0.5,,
관심을 가져주니 좋군!,1,,1,1,1,1,,
관심이 감사하다,1,,1,1,1,1,,
부담은 되지만.. 재밌게 즐기고 싶다..!,1,,1,1,0.7,0.7,,
기분 좋다,1,,1,1,1,1,,
좋다,1,,1,1,1,1,,
옹 너무조아,1,,1,1,1,1,,
노상관,1,,0.7,0.7,0.5,0.5,,
"부담스러운데,,, 관심을 가져주니 좋군! , 재미있다. 등",1,,1,1,0.7,0.7,,
잘 모르는 거 할 때 집중하면 부담스럽고 내가 잘 알고 잘 말하고 있을 때 집중해주면 고맙고 좋아서 더 열심히 말한다!,1,,1,1,0.7,0.7,,
오늘 머리 잘 됐나보다,1,,1,1,1,1,,
오히려 좋아 즐겨,1,,1,1,1,1,,
"재미있다, 부담스럽다 반반",1,,1,1,0.5,0.5,,
즐긴다. 새로운 사람을 만나는게 재밌다,1,,1,1,1,1,,
말 실수하지 않도록 조심해야겠다. 마음의 평정,1,,1,1,0.7,0.7,,
좋당,1,,1,1,1,1,,
짜릿한데,1,,1,1,1,1,,
무슨 말 하지? 어떤 말을 해야 분위기가 풀어질까?,1,,1,1,0.7,0.7,,
모두 날 보세요~우린 한 팀><,1,,1,1,1,1,,
부담스럽다. 타겟변경을위해 딴소리할듯,0,,0.3,0,0,0,,
부담스럽지만 나쁘지 않다.,1,,1,1,0.7,0.7,,
왜 쳐다볼까 궁금,1,,0.3,0.7,0.3,0.5,,
오히려 좋아요,1,,1,1,1,1,,
"부담스러운데 관심을 가져주니 좋다, 재미있다, 편하다",1,,1,1,0.7,0.7,,
"어라,, 꽤나 좋아",1,,1,1,1,1,,
쳐다보나보다,1,,0.5,0.5,0.5,0.5,,
살짝 부담스럽지만 은근 즐긴다,1,,1,1,0.7,0.7,,
그저 그렇다,1,,0.5,0.5,0.5,0.5,,
부담스럽지만 나쁘진 않다,1,,1,1,0.7,0.7,,
재밌다,1,,1,1,1,1,,
관심좋아!,1,,1,1,1,1,,
내가 예쁜가,1,,1,1,1,1,,
부담스럽지만 재밌다,1,,1,1,0.7,0.7,,
묵직에서 나오는 매력을 발산해야겠다,1,,1,1,1,1,,
큰소리로 인사하며 반응을 본다.,1,,1,1,1,1,,
이거는 변수이긴 한데… 먼저 말을 걸어야겠다!!,1,,1,1,1,1,,
오히려 좋아,1,,1,1,1,1,,
어색해서 내가 먼저 말을 건다,1,,0.7,0.7,0.7,0.7,,
어색하다,0,,0,0,1,0,,
내가 말걸어야지,1,,1,1,1,1,,
오히려 좋아,1,,1,1,1,1,,
오히려 좋아,1,,1,1,1,1,,
아무생각없음,1,,0.5,0.5,0.5,0.5,,
오히려 좋음,1,,1,1,1,1,,
오히려 좋다,1,,1,1,1,1,,
나쁘지않다,1,,1,1,1,1,,
내가 먼저 걸어볼까,1,,1,1,0.7,0.7,,
어색하니깐 내가 더 노력해야겠다,1,,0.7,0.7,0.7,0.7,,
내가 먼저 말을 걸어야겠다고 생각한다,1,,1,1,0.7,0.7,,
섭섭하면서도 은근 좋다,1,,0.5,0.3,0.7,0.7,,
오히려 좋아,1,,1,0.3,1,1,,
오히려 좋아,1,,1,0.3,1,1,,
좋다 이대로 집에가도 모르겠지…,1,,1,1,1,1,,
아무 생각 안든다.,1,,0.5,0.5,0.5,0.5,,
아무생각안든다,1,,0.5,0.5,0.5,0.5,,
쫌이따 내가말꺼내바야지,1,,1,1,1,1,,
내가 먼저 말건다,1,,1,1,1,1,,
뭐야왜말안걸어 그렇담 내가먼저 떠들어야지,1,,1,1,1,1,,
듣는게 좋아요,1,,1,0.3,0.7,0.7,,
아무 생각없음,1,,0.5,0.5,0.5,0.5,,
내가 하자,1,,1,1,1,1,,
내가 먼저 걸어야지~,1,,1,1,1,1,,
오히려 좋아,1,,1,0.3,1,1,,
오히려 좋아,1,,1,0.3,1,1,,
뭐라고 말걸지?,1,,1,1,1,1,,
나쁘지 않다. 내가 먼저 말 걸면 될듯,1,,1,1,1,1,,
내가 먼저 말을 걸겠다,1,,1,1,1,1,,
어떤 말을 해야 이목을 끌 수 있을까?,1,,1,1,1,1,,
내가 먼저 말 해야겠다,1,,1,1,1,1,,
내가 먼저 말 걸지 뭐~ 말 걸면 잘 받아줄 것 같은 사람이나 가까이 앉은 사람한테 인사한다,1,,1,1,1,1,,
내가먼저말걸어야되나하는 생각,1,,1,1,1,1,,
내가 먼저 말걸어서 친해져야겠다,1,,1,1,1,1,,
오히려 너무 좋아,1,,1,0.3,1,1,,
내가 어려워 보이나? 내가 먼저 말 걸어야겠다.,1,,1,1,1,1,,
얼른 친해져야겠다,1,,1,1,1,1,,
뭐야 어딜봐 나만봐,1,,1,1,1,1,,
내가 필요할 때 말걸면된다,1,,1,1,1,1,,
먼저 말을 걸어볼까?,1,,1,1,1,1,,
오히려 좋아,1,,0.3,0.3,1,1,,
오히려 안거는게 좋다. 다만 한두명 정도는 재미있게 이야기 할 수 있을거 같다,1,,0.7,0.7,0.7,0.7,,
무섭다,0,,0,0,0,0,,
믿을만한 사람인건가?,0,,0,0,0.3,0.3,,
안맡긴다 기분은 아무렇지않다 물어볼 수 있다고 생각한다,0,,0,0,0.3,0.3,,
맡기지 않는다. 난 나를 믿지 남을 믿지는 않는다.,0,,0,0,0,0,,
